id,category,query,answer,expected_answer,sources,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,"['support/sla-p1-2026.pdf', 'support/helpdesk-faq.md', 'policy/refund-v4.pdf']",4,Token support ratio=0.81,4,Query-answer overlap=0.71,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=0.94,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ khi xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,"['policy/refund-v4.pdf', 'hr/leave-policy-2026.pdf']",5,Token support ratio=1.00,4,Query-answer overlap=0.80,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=0.89,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Level 3 cần Line Manager, IT Admin và IT Security cùng phê duyệt [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.","['it/access-control-sop.md', 'hr/leave-policy-2026.pdf']",5,Token support ratio=0.92,3,Query-answer overlap=0.50,5,Retrieved 1/1 expected sources,4,Expected-answer coverage=0.83,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Không. Hàng kỹ thuật số như license key hoặc subscription là ngoại lệ không được hoàn tiền [1].,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.","['policy/refund-v4.pdf', 'hr/leave-policy-2026.pdf']",5,Token support ratio=1.00,4,Query-answer overlap=0.75,5,Retrieved 1/1 expected sources,3,Expected-answer coverage=0.63,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,"['support/helpdesk-faq.md', 'support/sla-p1-2026.pdf', 'it/access-control-sop.md']",5,Token support ratio=1.00,4,Query-answer overlap=0.80,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=1.00,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Ví dụ: Khẩn cấp trong sự cố P1, cần cấp quyền tạm thời để fix incident. [3] Định nghĩa: Sự cố ảnh hưởng toàn bộ hệ thống production, không có workaround. [2]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,"['support/sla-p1-2026.pdf', 'it/access-control-sop.md']",5,Token support ratio=1.00,2,Query-answer overlap=0.38,5,Retrieved 1/1 expected sources,1,Expected-answer coverage=0.07,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tài liệu 'Approval Matrix for System Access' hiện đã được đổi tên thành 'Access Control SOP' [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,"['it/access-control-sop.md', 'support/helpdesk-faq.md']",4,Token support ratio=0.67,2,Query-answer overlap=0.44,5,Retrieved 1/1 expected sources,4,Expected-answer coverage=0.79,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày mỗi tuần và cần Team Lead phê duyệt [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.","['hr/leave-policy-2026.pdf', 'it/access-control-sop.md', 'support/helpdesk-faq.md']",5,Token support ratio=0.95,4,Query-answer overlap=0.82,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=0.85,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời chắc chắn. Tài liệu hiện có không đề cập mã lỗi ERR-403-AUTH.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.","['support/sla-p1-2026.pdf', 'policy/refund-v4.pdf', 'support/helpdesk-faq.md']",5,"Abstain an toàn, không bịa thông tin",5,Abstain phù hợp với câu hỏi thiếu context,5,No expected sources; abstain case,5,Abstain khớp expected answer,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tài liệu hiện có không nêu quy trình riêng cho khách hàng VIP. Theo quy trình chuẩn, Finance Team xử lý hoàn tiền trong 3-5 ngày làm việc [1].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.","['policy/refund-v4.pdf', 'it/access-control-sop.md', 'hr/leave-policy-2026.pdf']",2,Token support ratio=0.43,3,Query-answer overlap=0.58,5,Retrieved 1/1 expected sources,3,Expected-answer coverage=0.52,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,"['support/sla-p1-2026.pdf', 'support/helpdesk-faq.md']",4,Token support ratio=0.81,4,Query-answer overlap=0.71,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=0.94,variant_dense_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ khi xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,"['policy/refund-v4.pdf', 'hr/leave-policy-2026.pdf']",5,Token support ratio=1.00,4,Query-answer overlap=0.80,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=0.89,variant_dense_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Level 3 cần Line Manager, IT Admin và IT Security cùng phê duyệt [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.","['it/access-control-sop.md', 'hr/leave-policy-2026.pdf']",5,Token support ratio=0.92,3,Query-answer overlap=0.50,5,Retrieved 1/1 expected sources,4,Expected-answer coverage=0.83,variant_dense_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Không. Hàng kỹ thuật số như license key hoặc subscription là ngoại lệ không được hoàn tiền [1].,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.","['policy/refund-v4.pdf', 'hr/leave-policy-2026.pdf']",5,Token support ratio=1.00,4,Query-answer overlap=0.75,5,Retrieved 1/1 expected sources,3,Expected-answer coverage=0.63,variant_dense_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,"['support/helpdesk-faq.md', 'support/sla-p1-2026.pdf', 'it/access-control-sop.md']",5,Token support ratio=0.92,4,Query-answer overlap=0.80,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=1.00,variant_dense_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Với sự cố P1, ticket sẽ tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [1]. Nếu cần đổi quyền khẩn cấp để xử lý sự cố, on-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,"['support/sla-p1-2026.pdf', 'it/access-control-sop.md', 'support/helpdesk-faq.md']",5,Token support ratio=0.93,2,Query-answer overlap=0.38,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=0.93,variant_dense_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tài liệu 'Approval Matrix for System Access' hiện đã được đổi tên thành 'Access Control SOP' [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,"['it/access-control-sop.md', 'support/helpdesk-faq.md']",4,Token support ratio=0.67,2,Query-answer overlap=0.44,5,Retrieved 1/1 expected sources,4,Expected-answer coverage=0.79,variant_dense_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày mỗi tuần và cần Team Lead phê duyệt [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.","['hr/leave-policy-2026.pdf', 'it/access-control-sop.md']",5,Token support ratio=0.95,4,Query-answer overlap=0.82,5,Retrieved 1/1 expected sources,5,Expected-answer coverage=0.85,variant_dense_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời chắc chắn. Tài liệu hiện có không đề cập mã lỗi ERR-403-AUTH.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.","['support/sla-p1-2026.pdf', 'policy/refund-v4.pdf', 'it/access-control-sop.md']",5,"Abstain an toàn, không bịa thông tin",5,Abstain phù hợp với câu hỏi thiếu context,5,No expected sources; abstain case,5,Abstain khớp expected answer,variant_dense_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tài liệu hiện có không nêu quy trình riêng cho khách hàng VIP. Theo quy trình chuẩn, Finance Team xử lý hoàn tiền trong 3-5 ngày làm việc [2].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.","['policy/refund-v4.pdf', 'it/access-control-sop.md']",4,Token support ratio=0.70,3,Query-answer overlap=0.58,5,Retrieved 1/1 expected sources,3,Expected-answer coverage=0.52,variant_dense_rerank
